token,profil_utilisateur
ANONYMOUSTOKEN2761,1
81520192,1
72070970,1
52921187,0
ANONYMOUSTOKEN1579,1
ajnff710,1
ANONYMOUSTOKEN2561,1
77565596,1
45486364,0
62254058,1
24942652,1
02640039,1
61858326,1
ANONYMOUSTOKEN2553,1
20848161,1
65246665,1
28036329,1
01970875,0
61611203,1
03589135,1
16013770,1
ANONYMOUSTOKEN2508,1
06605590,1
28617937,1
79458098,1
07525065,1
79421501,1
99297951,0
ANONYMOUSTOKEN2730,1
ANONYMOUSTOKEN861,1
33998194,1
ANONYMOUSTOKEN3190,1
59095292,1
cpj8b810,1
ANONYMOUSTOKEN2896,1
ANONYMOUSTOKEN3428,1
30284901,1
94950760,1
36808950,1
ANONYMOUSTOKEN3975,1
ANONYMOUSTOKEN4868,0
43925134,1
ANONYMOUSTOKEN2577,1
ANONYMOUSTOKEN2848,1
71462714,1
97939370,1
ANONYMOUSTOKEN5199,0
08667831,1
t6ijy210,1
78717746,1
68389784,1
84736620,1
97687791,1
52938400,1
02920055,1
pm07al10,0
52206636,0
11358130,1
55151246,1
56140212,1
fdazhz10,1
90274548,1
67742959,1
10224214,1
56452850,1
q8rdk710,1
65031173,1
80492791,0
97475706,0
83710163,1
21721107,1
ANONYMOUSTOKEN2818,1
ANONYMOUSTOKEN3118,1
17694901,1
cskhdo10,1
13838210,1
ANONYMOUSTOKEN5231,0
11109590,0
47905683,1
ANONYMOUSTOKEN1792,1
63343150,0
04248461,1
b17e5f10,0
57064907,0
04758407,1
ANONYMOUSTOKEN3339,1
15785735,1
07288759,1
46454382,1
41605287,0
03153556,0
62893418,0
ANONYMOUSTOKEN2450,1
hg99lw10,0
ANONYMOUSTOKEN2885,1
91400957,1
13769057,0
ANONYMOUSTOKEN3681,0
70241111,1
22880697,1
77769659,1
31038051,1
ANONYMOUSTOKEN2806,1
ANONYMOUSTOKEN3326,1
ANONYMOUSTOKEN2970,1
ANONYMOUSTOKEN4418,1
ANONYMOUSTOKEN4498,0
83653554,0
ANONYMOUSTOKEN1530,1
77161218,1
09036904,1
ANONYMOUSTOKEN2069,1
62860235,1
90305117,1
76938279,1
54176477,1
dhyci110,1
ANONYMOUSTOKEN2765,1
51255303,1
fr8ecc10 ,1
72405069,1
ANONYMOUSTOKEN4218,1
68723246,1
ANONYMOUSTOKEN916,1
44149094,1
97385493,1
97737552,1
02904572,0
ANONYMOUSTOKEN5166,0
27325277,1
c1d1p410,0
TESTGFINBOTAB24,1
99903565,1
ANONYMOUSTOKEN4519,1
21480176,0
19739517,1
42159585,1
36560308,1
14084642,0
23839042,1
64508233,1
39629960,0
51918907,1
03812682,1
ANONYMOUSTOKEN3517,1
ANONYMOUSTOKEN4544,1
68299602,1
02158032,1
66256720,1
07080090,1
TESTGFIMAXIME1,1
45302472,1
ANONYMOUSTOKEN5169,0
94314744,0
91041859,1
ANONYMOUSTOKEN1137,1
62026869,0
nf6dam10   ,1
02020534,1
31514523,1
88580508,1
48302272,1
73662840,0
ANONYMOUSTOKEN935,1
ANONYMOUSTOKEN3577,1
ANONYMOUSTOKEN1406,1
35539132,1
t3gmt010,1
ANONYMOUSTOKEN1233,1
03947479,1
82776414,1
46825594,0
37938114,0
49903846,0
85152668,0
32132260,1
dyewmg10,1
hvsyse10,1
19527079,1
19072801,1
ANONYMOUSTOKEN4799,0
ANONYMOUSTOKEN2443,1
ANONYMOUSTOKEN2884,1
ANONYMOUSTOKEN3445,1
ANONYMOUSTOKEN3235,1
ANONYMOUSTOKEN2753,1
ANONYMOUSTOKEN3618,1
ANONYMOUSTOKEN4080,1
59790135,1
85253689,0
21945045,1
66668565,1
ANONYMOUSTOKEN3161,1
ANONYMOUSTOKEN3695,1
ANONYMOUSTOKEN4423,1
ANONYMOUSTOKEN4676,0
00695017,1
73327383,1
75274364,1
a15rj410,1
08209853,1
37025031,1
ANONYMOUSTOKEN2123,1
49454427,1
57529109,1
52865811,1
02047321,1
36477992,1
ANONYMOUSTOKEN4798,0
ANONYMOUSTOKEN865,1
71602623,1
17867258,1
73583652,1
47125839,1
10321494,1
ANONYMOUSTOKEN4786,0
83199741,1
r007jn10,1
ANONYMOUSTOKEN1964,1
99484359,1
ANONYMOUSTOKEN2281,1
85256484,1
92680914,0
66418459,0
24861258,1
79006065,1
ANONYMOUSTOKEN1374,1
36691934,1
ANONYMOUSTOKEN3877,1
01039694,1
ANONYMOUSTOKEN4771,0
25853137,1
98186177,1
79594989,1
apr8as10,1
ANONYMOUSTOKEN2864,1
57234800,0
60486116,1
52512913,1
ANONYMOUSTOKEN4805,0
ANONYMOUSTOKEN5198,0
y96ok910,1
13365587,0
75803802,1
77181867,1
v65ef210,1
ANONYMOUSTOKEN3669,1
64997582,0
44851570,1
49636961,0
ANONYMOUSTOKEN1539,1
93359254,1
ANONYMOUSTOKEN876,1
ANONYMOUSTOKEN1981,1
97481521,1
xyyv0s10,1
ANONYMOUSTOKEN2536,1
13515216,1
42267936,1
ANONYMOUSTOKEN2024,1
58514900,1
86218643,1
ANONYMOUSTOKEN2586,1
ANONYMOUSTOKEN1376,1
68229708,1
46148460,1
ANONYMOUSTOKEN2202,1
46989856,1
56063500,0
46109745,1
82016381,1
03612076,1
92447383,1
73141749,1
44807696,1
ANONYMOUSTOKEN3122,1
TESTGFINBOTAB257,1
48709254,1
99580356,1
e3ld7k10,0
68634418,1
12867686,1
ANONYMOUSTOKEN2588,1
79472056,0
ANONYMOUSTOKEN2960,1
44524056,1
ANONYMOUSTOKEN3202,1
58831402,1
ANONYMOUSTOKEN3437,1
ANONYMOUSTOKEN4115,1
98434377,1
ANONYMOUSTOKEN5220,0
32765408,1
26401885,1
15980940,1
ANONYMOUSTOKEN2748,1
ANONYMOUSTOKEN2828,1
ANONYMOUSTOKEN2917,1
71476472,1
91728635,1
ANONYMOUSTOKEN5076,0
i05n8k10,0
ANONYMOUSTOKEN2148,1
ANONYMOUSTOKEN2151,1
ANONYMOUSTOKEN2300,1
ANONYMOUSTOKEN3545,1
ANONYMOUSTOKEN4373,1
wzq4k810,1
98940886,1
54192866,0
49222838,1
67874308,1
59537730,1
ANONYMOUSTOKEN4536,1
ANONYMOUSTOKEN5041,0
ANONYMOUSTOKEN5224,0
